Year,Region,Annualmaxdailytempforecast,Country
2083,Upper East,43.26,Ghana
2084,Upper East,42.8,Ghana
2085,Upper East,43.06,Ghana
2086,Upper East,43.15,Ghana
2087,Upper East,43.08,Ghana
2088,Upper East,43.34,Ghana
2089,Upper East,43.31,Ghana
2090,Upper East,43.37,Ghana
2091,Upper East,43.44,Ghana
2092,Upper East,43.13,Ghana
2093,Upper East,42.74,Ghana
2094,Upper East,43.08,Ghana
2095,Upper East,43.43,Ghana
2096,Upper East,42.98,Ghana
2097,Upper East,43.23,Ghana
2098,Upper East,43.19,Ghana
2099,Upper East,42.77,Ghana
2100,Upper East,43.75,Ghana
2015,Upper West,41.7,Ghana
2016,Upper West,41.66,Ghana
2017,Upper West,41.26,Ghana
2018,Upper West,41.79,Ghana
2019,Upper West,41.55,Ghana
2020,Upper West,41.82,Ghana
2021,Upper West,41.71,Ghana
2022,Upper West,41.83,Ghana
2023,Upper West,41.71,Ghana
2024,Upper West,42.04,Ghana
2025,Upper West,42.03,Ghana
2026,Upper West,42.14,Ghana
2027,Upper West,41.94,Ghana
2028,Upper West,42.19,Ghana
2029,Upper West,42.04,Ghana
2030,Upper West,41.86,Ghana
2031,Upper West,42.23,Ghana
2032,Upper West,42.2,Ghana
2033,Upper West,42.19,Ghana
2034,Upper West,42.55,Ghana
2035,Upper West,42.45,Ghana
2036,Upper West,42.76,Ghana
2037,Upper West,42.42,Ghana
2038,Upper West,42.28,Ghana
2039,Upper West,42.33,Ghana
2040,Upper West,42.53,Ghana
2041,Upper West,42.27,Ghana
2042,Upper West,42.43,Ghana
2043,Upper West,42.74,Ghana
2044,Upper West,42.51,Ghana
2045,Upper West,42.38,Ghana
2046,Upper West,42.81,Ghana
2047,Upper West,42.5,Ghana
2048,Upper West,42.45,Ghana
2049,Upper West,42.59,Ghana
2050,Upper West,42.91,Ghana
2051,Upper West,42.68,Ghana
2052,Upper West,42.63,Ghana
2053,Upper West,42.27,Ghana
2054,Upper West,42.73,Ghana
2055,Upper West,42.37,Ghana
2056,Upper West,42.98,Ghana
2057,Upper West,42.77,Ghana
2058,Upper West,42.45,Ghana
2059,Upper West,42.7,Ghana
2060,Upper West,42.78,Ghana
2061,Upper West,42.49,Ghana
2062,Upper West,42.32,Ghana
2063,Upper West,42.55,Ghana
2064,Upper West,42.59,Ghana
2065,Upper West,42.72,Ghana
2066,Upper West,42.67,Ghana
2067,Upper West,42.84,Ghana
2068,Upper West,42.61,Ghana
2069,Upper West,42.85,Ghana
2070,Upper West,42.53,Ghana
2071,Upper West,42.68,Ghana
2072,Upper West,42.58,Ghana
2073,Upper West,42.75,Ghana
2074,Upper West,42.69,Ghana
2075,Upper West,42.69,Ghana
2076,Upper West,42.64,Ghana
2077,Upper West,42.62,Ghana
2078,Upper West,42.48,Ghana
2079,Upper West,42.88,Ghana
2080,Upper West,42.74,Ghana
2081,Upper West,42.5,Ghana
2082,Upper West,42.74,Ghana
2083,Upper West,42.81,Ghana
2084,Upper West,42.33,Ghana
2085,Upper West,42.37,Ghana
