Year,Region,AnnualForecastedPrecip(mm),Country
2074,Upper East,926.29,Ghana
2075,Upper East,967.84,Ghana
2076,Upper East,943.11,Ghana
2077,Upper East,988.71,Ghana
2078,Upper East,956.67,Ghana
2079,Upper East,970.48,Ghana
2080,Upper East,950.78,Ghana
2081,Upper East,959.49,Ghana
2082,Upper East,964.77,Ghana
2083,Upper East,948.3,Ghana
2084,Upper East,954.2,Ghana
2085,Upper East,926.55,Ghana
2086,Upper East,1045.74,Ghana
2087,Upper East,970.11,Ghana
2088,Upper East,982.7,Ghana
2089,Upper East,916.83,Ghana
2090,Upper East,983.86,Ghana
2091,Upper East,956.41,Ghana
2092,Upper East,995.08,Ghana
2093,Upper East,971.44,Ghana
2094,Upper East,892.86,Ghana
2095,Upper East,925.53,Ghana
2096,Upper East,1057.28,Ghana
2097,Upper East,944.67,Ghana
2098,Upper East,948.93,Ghana
2099,Upper East,969.52,Ghana
2100,Upper East,981.92,Ghana
2015,Upper West,1046.17,Ghana
2016,Upper West,1046.22,Ghana
2017,Upper West,1006.97,Ghana
2018,Upper West,1083.6,Ghana
2019,Upper West,993.36,Ghana
2020,Upper West,1033.88,Ghana
2021,Upper West,1007.65,Ghana
2022,Upper West,990.48,Ghana
2023,Upper West,971.47,Ghana
2024,Upper West,1017.44,Ghana
2025,Upper West,1031.79,Ghana
2026,Upper West,1059.07,Ghana
2027,Upper West,1051.18,Ghana
2028,Upper West,1109.49,Ghana
2029,Upper West,1117.25,Ghana
2030,Upper West,1027.26,Ghana
2031,Upper West,1028.22,Ghana
2032,Upper West,987.23,Ghana
2033,Upper West,1128.18,Ghana
2034,Upper West,1070.98,Ghana
2035,Upper West,984.69,Ghana
2036,Upper West,1030.45,Ghana
2037,Upper West,1064.32,Ghana
2038,Upper West,1103.07,Ghana
2039,Upper West,1058.95,Ghana
2040,Upper West,1104.02,Ghana
2041,Upper West,1064.1,Ghana
2042,Upper West,1066.04,Ghana
2043,Upper West,1101.08,Ghana
2044,Upper West,1075.01,Ghana
2045,Upper West,1074.22,Ghana
2046,Upper West,1048.26,Ghana
2047,Upper West,1053.41,Ghana
2048,Upper West,1021.6,Ghana
2049,Upper West,1116.26,Ghana
2050,Upper West,1040.72,Ghana
2051,Upper West,1039.49,Ghana
2052,Upper West,1070.39,Ghana
2053,Upper West,1122.0,Ghana
2054,Upper West,1040.28,Ghana
2055,Upper West,1091.22,Ghana
2056,Upper West,1008.78,Ghana
2057,Upper West,963.02,Ghana
2058,Upper West,1068.48,Ghana
2059,Upper West,1070.19,Ghana
2060,Upper West,1009.95,Ghana
2061,Upper West,1016.69,Ghana
2062,Upper West,1037.94,Ghana
2063,Upper West,1120.4,Ghana
2064,Upper West,1043.53,Ghana
2065,Upper West,1044.31,Ghana
2066,Upper West,987.26,Ghana
2067,Upper West,992.71,Ghana
2068,Upper West,1032.26,Ghana
2069,Upper West,1052.42,Ghana
2070,Upper West,1015.78,Ghana
2071,Upper West,1020.62,Ghana
2072,Upper West,1018.19,Ghana
2073,Upper West,1048.46,Ghana
2074,Upper West,993.3,Ghana
2075,Upper West,1027.28,Ghana
2076,Upper West,1035.97,Ghana
2077,Upper West,1039.25,Ghana
2078,Upper West,1028.88,Ghana
2079,Upper West,1062.54,Ghana
2080,Upper West,1010.08,Ghana
2081,Upper West,1037.01,Ghana
2082,Upper West,1028.39,Ghana
2083,Upper West,1015.72,Ghana
2084,Upper West,1058.32,Ghana
2085,Upper West,963.12,Ghana
2086,Upper West,1112.71,Ghana
2087,Upper West,1029.9,Ghana
2088,Upper West,983.05,Ghana
2089,Upper West,975.25,Ghana
2090,Upper West,1035.48,Ghana
2091,Upper West,1022.25,Ghana
2092,Upper West,1042.08,Ghana
2093,Upper West,1030.58,Ghana
2094,Upper West,1007.16,Ghana
2095,Upper West,961.95,Ghana
2096,Upper West,1102.38,Ghana
2097,Upper West,1038.55,Ghana
2098,Upper West,1022.25,Ghana
2099,Upper West,1037.97,Ghana
2100,Upper West,1023.61,Ghana
2015,Volta,1199.04,Ghana
2016,Volta,1227.02,Ghana
2017,Volta,1169.24,Ghana
2018,Volta,1219.5,Ghana
2019,Volta,1178.23,Ghana
2020,Volta,1175.65,Ghana
2021,Volta,1191.85,Ghana
2022,Volta,1213.71,Ghana
2023,Volta,1262.84,Ghana
2024,Volta,1228.6,Ghana
2025,Volta,1220.11,Ghana
2026,Volta,1234.94,Ghana
2027,Volta,1182.73,Ghana
2028,Volta,1244.85,Ghana
2029,Volta,1242.77,Ghana
2030,Volta,1196.9,Ghana
2031,Volta,1281.08,Ghana
2032,Volta,1108.74,Ghana
2033,Volta,1156.31,Ghana
2034,Volta,1181.32,Ghana
2035,Volta,1191.06,Ghana
2036,Volta,1223.79,Ghana
2037,Volta,1229.36,Ghana
2038,Volta,1215.17,Ghana
2039,Volta,1193.95,Ghana
2040,Volta,1198.38,Ghana
2041,Volta,1211.32,Ghana
2042,Volta,1241.99,Ghana
2043,Volta,1232.9,Ghana
2044,Volta,1301.34,Ghana
2045,Volta,1278.2,Ghana
2046,Volta,1181.94,Ghana
2047,Volta,1172.96,Ghana
2048,Volta,1197.91,Ghana
2049,Volta,1251.93,Ghana
2050,Volta,1257.66,Ghana
2051,Volta,1193.36,Ghana
2052,Volta,1221.9,Ghana
2053,Volta,1289.63,Ghana
2054,Volta,1192.86,Ghana
2055,Volta,1199.6,Ghana
2056,Volta,1161.37,Ghana
2057,Volta,1200.75,Ghana
2058,Volta,1261.67,Ghana
2059,Volta,1228.22,Ghana
2060,Volta,1134.71,Ghana
2061,Volta,1268.04,Ghana
2062,Volta,1208.44,Ghana
2063,Volta,1284.31,Ghana
2064,Volta,1233.5,Ghana
2065,Volta,1259.99,Ghana
2066,Volta,1228.29,Ghana
2067,Volta,1243.16,Ghana
2068,Volta,1236.45,Ghana
2069,Volta,1243.24,Ghana
2070,Volta,1221.2,Ghana
2071,Volta,1172.65,Ghana
2072,Volta,1189.08,Ghana
2073,Volta,1220.35,Ghana
2074,Volta,1165.28,Ghana
2075,Volta,1257.78,Ghana
2076,Volta,1299.43,Ghana
2077,Volta,1182.89,Ghana
2078,Volta,1209.37,Ghana
2079,Volta,1259.77,Ghana
2080,Volta,1205.59,Ghana
2081,Volta,1233.78,Ghana
2082,Volta,1227.25,Ghana
2083,Volta,1193.53,Ghana
2084,Volta,1252.69,Ghana
2085,Volta,1157.91,Ghana
2086,Volta,1262.52,Ghana
