Year,Region,Annualmeantempforecast,Country
2046,Upper East,29.69,Ghana
2047,Upper East,29.65,Ghana
2048,Upper East,29.57,Ghana
2049,Upper East,29.68,Ghana
2050,Upper East,29.76,Ghana
2051,Upper East,29.73,Ghana
2052,Upper East,29.74,Ghana
2053,Upper East,29.53,Ghana
2054,Upper East,29.59,Ghana
2055,Upper East,29.56,Ghana
2056,Upper East,29.7,Ghana
2057,Upper East,29.72,Ghana
2058,Upper East,29.48,Ghana
2059,Upper East,29.67,Ghana
2060,Upper East,29.73,Ghana
2061,Upper East,29.72,Ghana
2062,Upper East,29.63,Ghana
2063,Upper East,29.61,Ghana
2064,Upper East,29.75,Ghana
2065,Upper East,29.55,Ghana
2066,Upper East,29.76,Ghana
2067,Upper East,29.69,Ghana
2068,Upper East,29.71,Ghana
2069,Upper East,29.75,Ghana
2070,Upper East,29.87,Ghana
2071,Upper East,29.73,Ghana
2072,Upper East,29.58,Ghana
2073,Upper East,29.72,Ghana
2074,Upper East,29.74,Ghana
2075,Upper East,29.74,Ghana
2076,Upper East,29.6,Ghana
2077,Upper East,29.77,Ghana
2078,Upper East,29.82,Ghana
2079,Upper East,29.8,Ghana
2080,Upper East,29.66,Ghana
2081,Upper East,29.72,Ghana
2082,Upper East,29.92,Ghana
2083,Upper East,29.6,Ghana
2084,Upper East,29.65,Ghana
2085,Upper East,29.62,Ghana
2086,Upper East,29.82,Ghana
2087,Upper East,29.56,Ghana
2088,Upper East,29.58,Ghana
2089,Upper East,29.52,Ghana
2090,Upper East,29.48,Ghana
2091,Upper East,29.8,Ghana
2092,Upper East,29.69,Ghana
2093,Upper East,29.78,Ghana
2094,Upper East,29.59,Ghana
2095,Upper East,29.53,Ghana
2096,Upper East,29.24,Ghana
2097,Upper East,29.36,Ghana
2098,Upper East,29.6,Ghana
2099,Upper East,29.71,Ghana
2100,Upper East,29.56,Ghana
2015,Upper West,28.31,Ghana
2016,Upper West,28.14,Ghana
2017,Upper West,28.23,Ghana
2018,Upper West,28.45,Ghana
2019,Upper West,28.6,Ghana
2020,Upper West,28.71,Ghana
2021,Upper West,28.56,Ghana
2022,Upper West,28.52,Ghana
2023,Upper West,28.53,Ghana
2024,Upper West,28.74,Ghana
2025,Upper West,28.72,Ghana
2026,Upper West,28.8,Ghana
2027,Upper West,28.66,Ghana
2028,Upper West,28.82,Ghana
2029,Upper West,28.78,Ghana
2030,Upper West,28.88,Ghana
2031,Upper West,29.01,Ghana
2032,Upper West,28.93,Ghana
2033,Upper West,28.97,Ghana
2034,Upper West,28.95,Ghana
2035,Upper West,28.95,Ghana
2036,Upper West,28.94,Ghana
2037,Upper West,28.94,Ghana
2038,Upper West,28.89,Ghana
2039,Upper West,28.93,Ghana
2040,Upper West,28.88,Ghana
2041,Upper West,28.95,Ghana
2042,Upper West,29.02,Ghana
2043,Upper West,29.01,Ghana
2044,Upper West,29.01,Ghana
2045,Upper West,28.91,Ghana
2046,Upper West,29.17,Ghana
2047,Upper West,29.16,Ghana
2048,Upper West,29.06,Ghana
2049,Upper West,29.17,Ghana
2050,Upper West,29.23,Ghana
2051,Upper West,29.25,Ghana
2052,Upper West,29.2,Ghana
