Year,Region,AnnualForecastedDrought(SPEI Index),Country
2067,Volta,0.0,Ghana
2068,Volta,0.0,Ghana
2069,Volta,0.0,Ghana
2070,Volta,0.0,Ghana
2071,Volta,0.0,Ghana
2072,Volta,0.0,Ghana
2073,Volta,0.0,Ghana
2074,Volta,0.0,Ghana
2075,Volta,0.0,Ghana
2076,Volta,0.0,Ghana
2077,Volta,0.0,Ghana
2078,Volta,0.0,Ghana
2079,Volta,-0.0,Ghana
2080,Volta,-0.14,Ghana
2081,Volta,0.0,Ghana
2082,Volta,0.0,Ghana
2083,Volta,0.0,Ghana
2084,Volta,0.0,Ghana
2085,Volta,0.0,Ghana
2086,Volta,0.0,Ghana
2087,Volta,0.0,Ghana
2088,Volta,0.0,Ghana
2089,Volta,0.0,Ghana
2090,Volta,-0.01,Ghana
2091,Volta,0.0,Ghana
2092,Volta,0.0,Ghana
2093,Volta,0.0,Ghana
2094,Volta,-0.03,Ghana
2095,Volta,-0.03,Ghana
2096,Volta,-0.07,Ghana
2097,Volta,-0.11,Ghana
2098,Volta,-0.0,Ghana
2099,Volta,0.0,Ghana
2100,Volta,0.0,Ghana
2015,Western,0.0,Ghana
2016,Western,0.0,Ghana
2017,Western,-0.02,Ghana
2018,Western,0.0,Ghana
2019,Western,0.0,Ghana
2020,Western,-0.01,Ghana
2021,Western,-0.01,Ghana
2022,Western,0.0,Ghana
2023,Western,0.0,Ghana
2024,Western,0.0,Ghana
2025,Western,0.0,Ghana
2026,Western,0.0,Ghana
2027,Western,0.0,Ghana
2028,Western,-0.0,Ghana
2029,Western,0.0,Ghana
2030,Western,0.0,Ghana
2031,Western,-0.03,Ghana
2032,Western,0.0,Ghana
2033,Western,0.0,Ghana
