Year,Region,AnnualForecastedDryDays,Country
2042,Western,30.9,Ghana
2043,Western,30.89,Ghana
2044,Western,32.32,Ghana
2045,Western,36.49,Ghana
2046,Western,32.74,Ghana
2047,Western,31.25,Ghana
2048,Western,28.06,Ghana
2049,Western,26.91,Ghana
2050,Western,30.43,Ghana
2051,Western,28.01,Ghana
2052,Western,26.44,Ghana
2053,Western,31.69,Ghana
2054,Western,30.55,Ghana
2055,Western,29.44,Ghana
2056,Western,30.11,Ghana
2057,Western,31.1,Ghana
2058,Western,32.63,Ghana
2059,Western,28.2,Ghana
2060,Western,31.91,Ghana
2061,Western,33.68,Ghana
2062,Western,24.49,Ghana
2063,Western,33.69,Ghana
2064,Western,28.81,Ghana
2065,Western,32.38,Ghana
2066,Western,37.49,Ghana
2067,Western,29.71,Ghana
2068,Western,27.25,Ghana
2069,Western,31.16,Ghana
2070,Western,28.11,Ghana
2071,Western,29.35,Ghana
2072,Western,33.27,Ghana
2073,Western,28.66,Ghana
2074,Western,32.91,Ghana
2075,Western,24.39,Ghana
2076,Western,30.22,Ghana
2077,Western,28.04,Ghana
2078,Western,29.12,Ghana
2079,Western,33.79,Ghana
2080,Western,28.08,Ghana
2081,Western,35.55,Ghana
2082,Western,26.29,Ghana
2083,Western,30.29,Ghana
2084,Western,27.41,Ghana
2085,Western,25.9,Ghana
2086,Western,23.79,Ghana
2087,Western,34.44,Ghana
2088,Western,31.8,Ghana
2089,Western,32.12,Ghana
2090,Western,35.89,Ghana
2091,Western,29.34,Ghana
2092,Western,29.74,Ghana
2093,Western,23.84,Ghana
2094,Western,28.66,Ghana
2095,Western,26.85,Ghana
2096,Western,31.03,Ghana
2097,Western,24.65,Ghana
2098,Western,29.74,Ghana
2099,Western,28.98,Ghana
2100,Western,34.23,Ghana
